Txn Hash,timestamp,token_bought,token_sold,volume_bought,volume_sold,token_symbol,ETH_Price,token_price,house_token,token_name,name_short,token_supply,on_chain_market_cap,city,realt_price_original,realt_apr,rmm,initial_market_cap_without_premium,initial_market_cap,volume_total,holders_count,offering_date_timestamp
0x6d2c30fc55b555126b67abf1824b816ef8435ab2308ea2d5c743acf002374b0b,1592271823, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1,1,0.214210471,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,232.0892335,49.71594402,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,59659.13282,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0xf9520cda6b6b872dc6c6964f1c01e76bc5d4236eb634a372edccd1d9c9575043,1592454262, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1,2,0.462456707,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,232.4999315,53.76057635,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,64512.69162,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x19b1bc496cc970b93792c1b7725784dabfab6cd1789fa6c702ecd5b903745465,1592639290, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,1,0.235820738,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.1253125,53.79667955,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,64556.01546,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0xd1af7ee8070bd2780fae710ea0424b23be3c6d1aab41c288fffbfb7f4068b89e,1592806026, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,2,0.437026224,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,235.76828,51.51846057,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,61822.15268,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x47d63e1382660c47df690bbbd8fcd2e4c0d0d9c223fdcc155faf6d54954c8b38,1593323825, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1,3,0.656881118,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,224.130829,49.07576984,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,58890.92381,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x5fbe4bfb10351b939a05d873145e724c64f1b248361e0002e2323e056a0f55fb,1593639229, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,4,0.857929896,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.624001,49.03584135,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,58843.00962,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x1eec3e091ec9165427827eafbc1c2c765d01ce991a143b12ff64bae16bb0e107,1593640774, ETH, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,3,0.637259812,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.624001,48.56429597,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,58277.15516,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x372c35e9f799f1ca13d27c2a098d279cb465493e164f858a851ae732a087aa5c,1593716470, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1,1,0.225871208,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,230.3405535,52.02729907,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,62432.75888,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x408beff2139a324cedb12a6c248cc00cc0257cc29aee7a49847eef40c044c6ee,1593897496, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,0.99494573,0.223368858,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,227.1812975,51.00300996,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,61203.61195,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0xc33dee52af664dad1c92e961b2f0cc0966e0b9e4b7e2e77edc44258fdc5b6728,1593953660, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,1.045242179,0.23626549,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.3203965,51.6093126,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,61931.17512,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x776495a32d6f14f79f79b63986a98982c23aafb47c3fc000981f60f3a392ed30,1593972777, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,1,0.224867189,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.3203965,51.34176575,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,61610.1189,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x7473871c947daff9e7306278bc19b689336eceaa8324371d6163a745d925f45f,1593975921, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,1,0.226222488,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.3203965,51.65120816,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,61981.44979,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0x104189129f15e975186679c4553155049e4f0f6951620ce3e72c26269fcf7593,1593988256, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, ETH,1.989732938,0.440599942,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,228.3203965,50.55852046,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,60670.22455,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
0xc30a4144928a2782375c782cb59bc97dca03bfefce448791aac8bd718f9cffe5,1594204167, REALTOKEN-15634-LIBERAL-ST-DETROIT-MI, UNI-V1,1,0.219287881,REALTOKEN-15634-LIBERAL-ST-DETROIT-MI,242.914993,53.26831408,0xa81F77E8988b28fB74243B907acE3c83353Dc80a,RealToken S 15634 Liberal St Detroit MI,15634-liberal,1200,63921.9769,Detroit,51.580002,14.04%,No,55632.125,61896,8944.4297,173,1588892400
